geometry,code,obec,počet obyv.
"{""type"":""Polygon"",""coordinates"":[[[16.276587,50.590385],[16.266825,50.587764],[16.252592,50.591856],[16.243469,50.585359],[16.235083,50.598024],[16.217109,50.599381],[16.21606,50.599933],[16.228235,50.601496],[16.235042,50.610129],[16.231575,50.613038],[16.244309,50.618396],[16.262588,50.623753],[16.277276,50.623383],[16.280813,50.616964],[16.26567,50.600152],[16.276587,50.590385]]]}",574155,Jetřichov,453
"{""type"":""Polygon"",""coordinates"":[[[14.384067,50.827558],[14.375367,50.825987],[14.362497,50.837212],[14.356203,50.838745],[14.35098,50.848577],[14.320269,50.861862],[14.320181,50.863769],[14.325432,50.874419],[14.340662,50.876957],[14.328268,50.880935],[14.327054,50.889568],[14.349265,50.892776],[14.348905,50.900683],[14.370109,50.896566],[14.388583,50.900322],[14.404976,50.899451],[14.406597,50.890429],[14.424073,50.887472],[14.427047,50.883177],[14.44304,50.880572],[14.447626,50.873552],[14.437005,50.866122],[14.440105,50.8595],[14.43209,50.855052],[14.420973,50.844628],[14.412163,50.841127],[14.406356,50.845423],[14.393045,50.84209],[14.384067,50.827558]]]}",562556,Jetřichovice,389
"{""type"":""Polygon"",""coordinates"":[[[14.799212,49.990275],[14.80734,49.992497],[14.805485,49.987134],[14.819894,49.986276],[14.834811,49.988856],[14.837252,49.983585],[14.846773,49.984138],[14.844105,49.976693],[14.858548,49.966463],[14.853664,49.957452],[14.847358,49.958234],[14.830381,49.950303],[14.811074,49.960426],[14.805363,49.967172],[14.797686,49.967862],[14.791124,49.975986],[14.787364,49.981889],[14.799141,49.981031],[14.799212,49.990275]]]}",533378,Jevany,784
"{""type"":""Polygon"",""coordinates"":[[[16.732003,49.644255],[16.729715,49.640884],[16.718925,49.634269],[16.71756,49.621923],[16.726263,49.614957],[16.725863,49.61482],[16.715547,49.621423],[16.693423,49.624569],[16.679716,49.623041],[16.664824,49.627885],[16.66667,49.631889],[16.65496,49.640312],[16.662178,49.650634],[16.649025,49.65308],[16.6428,49.664372],[16.644708,49.672152],[16.655734,49.678279],[16.676291,49.679179],[16.684113,49.673404],[16.695658,49.671165],[16.699632,49.665151],[16.692525,49.652249],[16.732003,49.644255]]]}",578193,Jevíčko,2 801
"{""type"":""Polygon"",""coordinates"":[[[14.316787,50.340259],[14.322882,50.352412],[14.328834,50.357698],[14.339376,50.356294],[14.351638,50.349001],[14.360328,50.350254],[14.349951,50.340392],[14.350696,50.334787],[14.342306,50.330333],[14.333676,50.331709],[14.327807,50.340414],[14.316787,50.340259]]]}",531871,Jeviněves,226
"{""type"":""Polygon"",""coordinates"":[[[15.959868,48.987761],[15.990833,48.993209],[16.000893,48.989798],[16.002268,48.98422],[16.019095,48.97072],[16.009206,48.966378],[16.007054,48.971575],[15.992344,48.974515],[15.979812,48.969046],[15.977659,48.96111],[15.960997,48.965289],[15.964294,48.984957],[15.959868,48.987761]]]}",594202,Jevišovice,1 176
"{""type"":""Polygon"",""coordinates"":[[[16.42373,48.851291],[16.436227,48.868787],[16.452126,48.86226],[16.446292,48.852351],[16.449408,48.845585],[16.470822,48.840691],[16.468616,48.835704],[16.475977,48.829181],[16.468873,48.816371],[16.461563,48.811367],[16.452636,48.81587],[16.428529,48.820723],[16.432294,48.827753],[16.430914,48.839208],[16.421253,48.848865],[16.42373,48.851291]]]}",584525,Jevišovka,688
"{""type"":""Polygon"",""coordinates"":[[[15.696402,49.995481],[15.698469,49.994656],[15.712435,49.978727],[15.70609,49.979879],[15.699959,49.97323],[15.692202,49.973775],[15.675463,49.978648],[15.679287,49.988898],[15.667056,49.993828],[15.694702,49.991675],[15.696402,49.995481]]]}",575143,Jezbořice,385
"{""type"":""Polygon"",""coordinates"":[[[17.769639,49.910575],[17.757735,49.910237],[17.757474,49.91986],[17.751887,49.930287],[17.756594,49.937478],[17.761215,49.936828],[17.764695,49.927487],[17.77993,49.927464],[17.779707,49.914501],[17.769639,49.910575]]]}",547191,Jezdkovice,244
"{""type"":""Polygon"",""coordinates"":[[[15.45545,49.32399],[15.459962,49.333569],[15.468808,49.335579],[15.490186,49.328936],[15.499133,49.310572],[15.483614,49.30995],[15.479346,49.316599],[15.465748,49.313383],[15.45545,49.32399]]]}",587273,Jezdovice,242
"{""type"":""Polygon"",""coordinates"":[[[17.6491,49.557132],[17.640779,49.542923],[17.647583,49.53661],[17.655288,49.536552],[17.650645,49.529259],[17.63813,49.529394],[17.632298,49.523401],[17.61776,49.522821],[17.610583,49.54236],[17.61137,49.554998],[17.646551,49.564984],[17.6491,49.557132]]]}",556998,Jezernice,664
"{""type"":""Polygon"",""coordinates"":[[[16.424066,49.050632],[16.438503,49.048257],[16.456744,49.037818],[16.453363,49.028975],[16.424199,49.011342],[16.422421,49.01128],[16.4034,49.02504],[16.412346,49.036686],[16.410866,49.042737],[16.424066,49.050632]]]}",594211,Jezeřany-Maršovice,794
"{""type"":""Polygon"",""coordinates"":[[[15.445153,49.419357],[15.454253,49.419268],[15.450218,49.428157],[15.459468,49.428971],[15.476314,49.424263],[15.477308,49.416545],[15.46982,49.412703],[15.47088,49.407012],[15.462922,49.403761],[15.45387,49.409089],[15.446752,49.40529],[15.445153,49.419357]]]}",587281,Ježená,125
"{""type"":""Polygon"",""coordinates"":[[[16.915885,49.300528],[16.905585,49.290864],[16.896048,49.289989],[16.882191,49.295881],[16.863021,49.300497],[16.857564,49.297624],[16.853681,49.306175],[16.852776,49.322616],[16.861293,49.324819],[16.873006,49.323488],[16.885506,49.316833],[16.909567,49.315526],[16.920305,49.308388],[16.915885,49.300528]]]}",593125,Ježkovice,393
"{""type"":""Polygon"",""coordinates"":[[[17.222401,49.002],[17.206694,49.010753],[17.205672,49.019253],[17.194588,49.023144],[17.191276,49.028216],[17.201893,49.026617],[17.219761,49.036253],[17.223537,49.032343],[17.228872,49.029214],[17.230025,49.016187],[17.225809,49.002351],[17.222401,49.002]]]}",586226,Ježov (HO),713
"{""type"":""Polygon"",""coordinates"":[[[15.2266,49.601847],[15.221109,49.612698],[15.229835,49.619475],[15.244798,49.624056],[15.248797,49.615511],[15.248377,49.607747],[15.2266,49.601847]]]}",548073,Ježov (PE),64
"{""type"":""Polygon"",""coordinates"":[[[13.216638,49.498386],[13.233834,49.508834],[13.252501,49.508654],[13.245979,49.495732],[13.234906,49.483024],[13.240041,49.477263],[13.234298,49.469804],[13.242185,49.460363],[13.215596,49.462198],[13.21476,49.466829],[13.201621,49.468417],[13.196765,49.478862],[13.200398,49.483423],[13.21775,49.490442],[13.216638,49.498386]]]}",541753,Ježovy,235
"{""type"":""Polygon"",""coordinates"":[[[14.218594,49.430051],[14.20704,49.432378],[14.204919,49.439086],[14.193947,49.440833],[14.188786,49.448462],[14.196127,49.457047],[14.190905,49.466029],[14.192803,49.467543],[14.193462,49.467816],[14.206036,49.466525],[14.206448,49.466599],[14.208328,49.467117],[14.208541,49.467191],[14.208918,49.467271],[14.209206,49.467238],[14.209518,49.46722],[14.209993,49.467217],[14.210422,49.467256],[14.210769,49.46729],[14.22496,49.463055],[14.244945,49.461263],[14.244956,49.461226],[14.24524,49.460213],[14.246569,49.456109],[14.245286,49.450577],[14.233191,49.445677],[14.237049,49.441156],[14.218594,49.430051]]]}",562084,Jickovice,128
"{""type"":""Polygon"",""coordinates"":[[[15.36262,50.459845],[15.366419,50.459673],[15.379075,50.455345],[15.385273,50.450105],[15.401955,50.449579],[15.402797,50.442715],[15.414139,50.43769],[15.414813,50.432177],[15.428013,50.427626],[15.416842,50.418031],[15.419558,50.413779],[15.394136,50.409585],[15.401473,50.401886],[15.41219,50.405785],[15.399023,50.396122],[15.378647,50.40435],[15.36085,50.408117],[15.357488,50.404518],[15.355504,50.413548],[15.361875,50.418899],[15.351305,50.422232],[15.333359,50.436673],[15.336885,50.45185],[15.342374,50.450199],[15.349514,50.448226],[15.360343,50.452388],[15.36262,50.459845]]]}",572659,Jičín,16 717
"{""type"":""Polygon"",""coordinates"":[[[15.341013,50.337803],[15.319467,50.336427],[15.310757,50.339668],[15.311071,50.350258],[15.302945,50.363172],[15.293877,50.367534],[15.277885,50.36757],[15.282974,50.377409],[15.30323,50.379664],[15.308011,50.386445],[15.328075,50.376994],[15.336604,50.3769],[15.338583,50.387675],[15.340795,50.387752],[15.340625,50.382644],[15.358574,50.373072],[15.359165,50.369617],[15.346354,50.358867],[15.340853,50.348316],[15.345431,50.344561],[15.341013,50.337803]]]}",573001,Jičíněves,595
"{""type"":""Polygon"",""coordinates"":[[[15.521885,49.408106],[15.535061,49.413024],[15.530457,49.416026],[15.542225,49.419352],[15.535815,49.427179],[15.554384,49.418924],[15.563803,49.419816],[15.576468,49.426016],[15.563301,49.441049],[15.554396,49.459914],[15.561923,49.469795],[15.57484,49.473989],[15.58894,49.475974],[15.599566,49.469565],[15.614554,49.462969],[15.608671,49.460133],[15.621437,49.448213],[15.633056,49.44471],[15.647224,49.435956],[15.639421,49.433372],[15.647186,49.427184],[15.662057,49.423434],[15.655555,49.41212],[15.638246,49.408757],[15.63601,49.404983],[15.634215,49.395485],[15.648599,49.393532],[15.659411,49.380535],[15.641826,49.377961],[15.643273,49.372769],[15.632156,49.372138],[15.62119,49.378469],[15.610801,49.377414],[15.612867,49.367899],[15.606218,49.366789],[15.594169,49.375213],[15.587661,49.371567],[15.577635,49.373992],[15.56099,49.371434],[15.548399,49.366091],[15.560714,49.359031],[15.552843,49.357816],[15.558252,49.349657],[15.555373,49.343924],[15.537164,49.335685],[15.521273,49.334087],[15.520777,49.344834],[15.51394,49.346977],[15.514394,49.352355],[15.524507,49.353529],[15.515554,49.367857],[15.508033,49.372826],[15.512246,49.380463],[15.502988,49.382279],[15.499807,49.389603],[15.501,49.394875],[15.51364,49.390451],[15.516518,49.396738],[15.5288,49.395867],[15.533692,49.405031],[15.521885,49.408106]]]}",586846,Jihlava,51 216
"{""type"":""Polygon"",""coordinates"":[[[15.28632,49.279901],[15.300228,49.281509],[15.300524,49.273689],[15.307928,49.269732],[15.303698,49.254006],[15.294523,49.249026],[15.288704,49.237837],[15.277599,49.240761],[15.279059,49.246254],[15.26812,49.248634],[15.282694,49.271488],[15.275096,49.273989],[15.28632,49.279901]]]}",587290,Jihlávka,206
"{""type"":""Polygon"",""coordinates"":[[[15.050186,50.245498],[15.026783,50.252778],[15.031894,50.258955],[15.031096,50.268513],[15.069365,50.275118],[15.073316,50.27417],[15.084906,50.273057],[15.078471,50.266677],[15.084391,50.262904],[15.073983,50.263238],[15.066694,50.258033],[15.076035,50.252507],[15.063409,50.242378],[15.058791,50.243259],[15.050186,50.245498]]]}",537250,Jíkev,343
"{""type"":""Polygon"",""coordinates"":[[[15.562091,49.729406],[15.579538,49.731638],[15.596795,49.731095],[15.605667,49.722612],[15.600356,49.710476],[15.603061,49.706028],[15.591401,49.702388],[15.577187,49.701179],[15.571756,49.727742],[15.562091,49.729406]]]}",548413,Jilem (HB),129
"{""type"":""Polygon"",""coordinates"":[[[15.262809,49.189455],[15.277767,49.177013],[15.277691,49.168459],[15.260301,49.160207],[15.252119,49.164782],[15.249813,49.178947],[15.262809,49.189455]]]}",562769,Jilem (JH),127
"{""type"":""Polygon"",""coordinates"":[[[15.531057,50.59112],[15.50191,50.595783],[15.494107,50.593649],[15.486,50.608789],[15.485632,50.619854],[15.492814,50.627668],[15.507754,50.625229],[15.512922,50.633064],[15.517389,50.628137],[15.530286,50.629191],[15.542389,50.612948],[15.539177,50.606642],[15.545133,50.59848],[15.533258,50.589662],[15.531057,50.59112]]]}",577197,Jilemnice,5 401
"{""type"":""Polygon"",""coordinates"":[[[14.137871,50.745114],[14.127125,50.738774],[14.107931,50.733471],[14.094939,50.740964],[14.08881,50.749476],[14.067526,50.748562],[14.0718,50.757176],[14.070171,50.767408],[14.079644,50.778399],[14.056388,50.778238],[14.043484,50.780909],[14.039875,50.787558],[14.04533,50.79355],[14.049177,50.810486],[14.078578,50.812562],[14.110878,50.80213],[14.123079,50.802886],[14.110064,50.793631],[14.128359,50.77608],[14.139835,50.781028],[14.141887,50.770949],[14.137871,50.745114]]]}",562564,Jílové,5 162
"{""type"":""Polygon"",""coordinates"":[[[15.284398,50.667152],[15.288812,50.68212],[15.312607,50.676177],[15.30333,50.660057],[15.307208,50.649289],[15.294339,50.662829],[15.284398,50.667152]]]}",563617,Jílové u Držkova,217
"{""type"":""Polygon"",""coordinates"":[[[14.466523,49.861451],[14.459081,49.864236],[14.450536,49.875951],[14.470356,49.883777],[14.472786,49.891502],[14.465199,49.901057],[14.471082,49.912122],[14.482189,49.907337],[14.495928,49.91395],[14.49926,49.921943],[14.510809,49.918201],[14.514016,49.910598],[14.506813,49.90666],[14.509814,49.899244],[14.506121,49.885502],[14.513667,49.879882],[14.510652,49.873155],[14.508733,49.870494],[14.484923,49.870443],[14.475258,49.866356],[14.466523,49.861451]]]}",539333,Jílové u Prahy,4 857
"{""type"":""Polygon"",""coordinates"":[[[14.714207,48.962169],[14.715431,48.962616],[14.724396,48.955474],[14.734397,48.953375],[14.750438,48.940894],[14.771543,48.950551],[14.785173,48.948544],[14.774761,48.945685],[14.781143,48.93762],[14.756662,48.937267],[14.755786,48.928611],[14.749239,48.923222],[14.754426,48.919017],[14.773169,48.916193],[14.783846,48.919463],[14.790533,48.91598],[14.786473,48.896869],[14.799377,48.891076],[14.793697,48.876368],[14.782732,48.87273],[14.764314,48.873502],[14.753127,48.87971],[14.740052,48.868375],[14.70699,48.870707],[14.703487,48.876363],[14.683634,48.879832],[14.695524,48.88431],[14.705424,48.898043],[14.711419,48.897227],[14.701268,48.908786],[14.701995,48.914276],[14.725214,48.915532],[14.725965,48.926129],[14.712004,48.933183],[14.722256,48.937983],[14.722589,48.945483],[14.712236,48.958633],[14.714207,48.962169]]]}",544639,Jílovice (CB),1 024
"{""type"":""Polygon"",""coordinates"":[[[16.00103,50.250453],[16.000875,50.266661],[16.020728,50.261841],[16.019557,50.252051],[16.025516,50.251133],[16.011924,50.243885],[16.013368,50.234306],[16.006158,50.237281],[16.001569,50.239314],[16.00103,50.250453]]]}",576352,Jílovice (HK),304
"{""type"":""Polygon"",""coordinates"":[[[14.312257,49.904818],[14.317153,49.910169],[14.312395,49.919361],[14.321163,49.93357],[14.332439,49.938545],[14.338445,49.948557],[14.360457,49.947532],[14.367156,49.951374],[14.377093,49.946743],[14.388035,49.949861],[14.395626,49.941977],[14.394474,49.941502],[14.382544,49.942751],[14.367034,49.93268],[14.370808,49.925169],[14.347318,49.923568],[14.349503,49.912463],[14.339822,49.912255],[14.329122,49.906075],[14.3244,49.900852],[14.312257,49.904818]]]}",539341,Jíloviště,640
"{""type"":""Polygon"",""coordinates"":[[[13.729446,50.321813],[13.736421,50.327206],[13.740669,50.329803],[13.734588,50.338976],[13.756235,50.346051],[13.764771,50.338505],[13.778388,50.338439],[13.781552,50.328322],[13.785158,50.320141],[13.771524,50.318115],[13.766597,50.311732],[13.750556,50.308853],[13.731791,50.316718],[13.729446,50.321813]]]}",546011,Jimlín,903
"{""type"":""Polygon"",""coordinates"":[[[16.276993,49.627711],[16.28717,49.619938],[16.275519,49.618218],[16.267342,49.607851],[16.257956,49.605884],[16.259968,49.610536],[16.240718,49.624621],[16.233104,49.62389],[16.224065,49.618743],[16.212864,49.619661],[16.212965,49.624854],[16.200363,49.625263],[16.194903,49.630783],[16.193073,49.637893],[16.198873,49.63806],[16.202389,49.658227],[16.22134,49.654941],[16.218015,49.659677],[16.225952,49.663525],[16.244823,49.658835],[16.257031,49.645521],[16.274852,49.640163],[16.269855,49.629727],[16.276993,49.627711]]]}",595772,Jimramov,1 147
"{""type"":""Polygon"",""coordinates"":[[[16.510739,49.26283],[16.507872,49.270991],[16.534535,49.272114],[16.544862,49.26546],[16.559062,49.275482],[16.56463,49.271737],[16.558579,49.254969],[16.552168,49.258759],[16.532942,49.255369],[16.529926,49.251647],[16.526289,49.257348],[16.510739,49.26283]]]}",583171,Jinačovice,779
"{""type"":""Polygon"",""coordinates"":[[[14.004488,49.761969],[13.997793,49.762402],[13.979384,49.752869],[13.960038,49.746218],[13.927944,49.739607],[13.906095,49.732655],[13.900984,49.733488],[13.890604,49.739057],[13.895633,49.754323],[13.906331,49.756279],[13.920526,49.759103],[13.928913,49.765257],[13.942711,49.769233],[13.947018,49.775415],[13.963634,49.785095],[13.96907,49.785376],[13.962223,49.795574],[13.962119,49.806126],[13.949528,49.810318],[13.96073,49.811949],[13.964698,49.813147],[13.974377,49.828082],[13.986729,49.818465],[13.994337,49.821027],[14.006808,49.811768],[14.007549,49.801304],[14.013669,49.80207],[14.012886,49.789264],[13.989152,49.78041],[14.004692,49.771075],[14.004488,49.761969]]]}",540404,Jince,2 255
"{""type"":""Polygon"",""coordinates"":[[[17.555914,50.23034],[17.546377,50.226513],[17.538237,50.225122],[17.52504,50.21633],[17.51743,50.221768],[17.500657,50.21775],[17.502736,50.212973],[17.498302,50.214244],[17.485886,50.206744],[17.471448,50.213978],[17.478752,50.21978],[17.487092,50.247948],[17.4767,50.270871],[17.495667,50.275092],[17.524532,50.275011],[17.541927,50.270359],[17.563453,50.270355],[17.56197,50.265642],[17.571687,50.253391],[17.555914,50.23034]]]}",597449,Jindřichov (BR),1 213
"{""type"":""Polygon"",""coordinates"":[[[17.777702,49.633112],[17.778635,49.624686],[17.766596,49.616088],[17.754588,49.629901],[17.732754,49.632492],[17.726092,49.633592],[17.711849,49.656345],[17.730399,49.658446],[17.732205,49.66548],[17.735478,49.67911],[17.737582,49.680039],[17.752545,49.670833],[17.756936,49.662418],[17.772799,49.651979],[17.766272,49.646995],[17.77495,49.640792],[17.777702,49.633112]]]}",513873,Jindřichov (PR),473
"{""type"":""Polygon"",""coordinates"":[[[16.940164,50.117845],[16.958193,50.131661],[16.985496,50.121473],[16.996011,50.111894],[17.003157,50.111445],[17.013031,50.134098],[17.026789,50.133933],[17.049345,50.159211],[17.068117,50.157678],[17.086231,50.160749],[17.099743,50.157879],[17.115432,50.163576],[17.107515,50.154221],[17.088153,50.146085],[17.088897,50.1422],[17.074837,50.136685],[17.069363,50.126628],[17.075938,50.122528],[17.060102,50.115691],[17.056192,50.110069],[17.039786,50.100665],[17.029877,50.098346],[17.037928,50.094122],[17.031557,50.086314],[17.037089,50.083146],[17.03793,50.068212],[17.02966,50.062852],[17.018161,50.066736],[17.012822,50.080915],[17.007574,50.074942],[16.991011,50.07974],[16.981995,50.075309],[16.966439,50.077557],[16.976311,50.089781],[16.976726,50.096968],[16.961544,50.103022],[16.948878,50.103239],[16.946107,50.098776],[16.929403,50.101758],[16.929465,50.110779],[16.940164,50.117845]]]}",536521,Jindřichov (SU),1 163
"{""type"":""Polygon"",""coordinates"":[[[15.629155,49.133889],[15.627315,49.146999],[15.637021,49.151214],[15.647771,49.146698],[15.645089,49.135164],[15.652668,49.12602],[15.645273,49.120866],[15.629155,49.133889]]]}",587303,Jindřichovice (JI),99
"{""type"":""Polygon"",""coordinates"":[[[12.54782,50.280194],[12.552362,50.288186],[12.568752,50.289061],[12.571141,50.293725],[12.580309,50.291741],[12.580006,50.299917],[12.596307,50.298643],[12.610653,50.295448],[12.615423,50.298778],[12.612924,50.310784],[12.628542,50.315768],[12.642602,50.316375],[12.641061,50.308688],[12.662341,50.308711],[12.672018,50.307794],[12.676481,50.315037],[12.68555,50.306648],[12.699578,50.307885],[12.702774,50.303195],[12.690483,50.297096],[12.682693,50.292538],[12.675064,50.294054],[12.665685,50.28756],[12.670579,50.281728],[12.667456,50.271134],[12.679801,50.259271],[12.675897,50.256829],[12.673244,50.261819],[12.662858,50.261064],[12.646227,50.267285],[12.637358,50.262497],[12.64196,50.248309],[12.632125,50.25532],[12.616045,50.261804],[12.606875,50.256589],[12.609797,50.2495],[12.605325,50.242092],[12.584724,50.24517],[12.584094,50.2504],[12.568919,50.261002],[12.57665,50.267316],[12.54782,50.280194]]]}",560413,Jindřichovice (SO),504
"{""type"":""Polygon"",""coordinates"":[[[15.248574,50.979728],[15.274198,50.9796],[15.277332,50.971679],[15.274007,50.962963],[15.292162,50.953594],[15.290152,50.947473],[15.27091,50.936367],[15.248869,50.928573],[15.239555,50.933712],[15.221691,50.934722],[15.219639,50.938653],[15.224495,50.945327],[15.235252,50.976726],[15.248574,50.979728]]]}",564133,Jindřichovice pod Smrkem,637
"{""type"":""Polygon"",""coordinates"":[[[15.030264,49.209601],[15.038746,49.20873],[15.035549,49.190849],[15.024215,49.188749],[15.02592,49.182334],[15.009847,49.188157],[15.002693,49.184352],[15.010225,49.174412],[15.023486,49.165682],[15.033434,49.163024],[15.037236,49.168609],[15.05022,49.159848],[15.047208,49.149084],[15.04056,49.148366],[15.061091,49.139702],[15.076844,49.137833],[15.075829,49.129214],[15.064312,49.120506],[15.050515,49.126644],[15.044598,49.118938],[15.043731,49.11853],[15.018426,49.128561],[15.013665,49.122199],[15.003836,49.121693],[15.001564,49.114641],[15.00917,49.111275],[15.004451,49.105145],[14.990998,49.104717],[14.977758,49.115022],[14.963087,49.105204],[14.948797,49.110708],[14.944404,49.106504],[14.946514,49.113742],[14.938608,49.116457],[14.933415,49.125569],[14.927004,49.136817],[14.935693,49.140897],[14.932055,49.14775],[14.933967,49.158446],[14.906093,49.162129],[14.909226,49.167694],[14.915482,49.173991],[14.922847,49.165992],[14.944013,49.173217],[14.962479,49.168313],[14.964441,49.174831],[14.973691,49.184066],[14.971006,49.193808],[14.979713,49.196536],[14.982053,49.207001],[14.988806,49.216657],[15.011354,49.219544],[15.030264,49.209601]]]}",545881,Jindřichův Hradec,21 419
"{""type"":""Polygon"",""coordinates"":[[[14.003473,49.219905],[13.974298,49.218969],[13.964521,49.227237],[13.970591,49.228607],[13.985532,49.240477],[14.006618,49.238388],[14.009928,49.235496],[13.999725,49.22384],[14.003473,49.219905]]]}",551163,Jinín,205
"{""type"":""Polygon"",""coordinates"":[[[14.240278,50.030771],[14.248275,50.035729],[14.270127,50.040267],[14.28894,50.027359],[14.271154,50.0225],[14.263623,50.026579],[14.249362,50.023863],[14.240278,50.030771]]]}",539350,Jinočany,1 991
"{""type"":""Polygon"",""coordinates"":[[[15.331221,50.473986],[15.323501,50.473248],[15.3134,50.471825],[15.310416,50.475544],[15.332015,50.489847],[15.341253,50.481345],[15.331221,50.473986]]]}",549151,Jinolice,198
"{""type"":""Polygon"",""coordinates"":[[[16.172809,49.23621],[16.179023,49.235954],[16.199819,49.245514],[16.206833,49.242451],[16.209054,49.229759],[16.205039,49.227072],[16.191495,49.217682],[16.182258,49.223731],[16.16817,49.225156],[16.179873,49.230885],[16.172809,49.23621]]]}",590797,Jinošov,243
"{""type"":""Polygon"",""coordinates"":[[[15.601171,49.001906],[15.622545,48.982831],[15.616066,48.978468],[15.613436,48.978514],[15.601538,48.980005],[15.5935,48.993497],[15.590654,49.002673],[15.601171,49.001906]]]}",550591,Jiratice,76
"{""type"":""Polygon"",""coordinates"":[[[13.465949,50.512888],[13.474801,50.495675],[13.462514,50.49195],[13.466083,50.488304],[13.448695,50.489624],[13.435487,50.491448],[13.423469,50.486813],[13.412412,50.491919],[13.397951,50.49043],[13.401912,50.495399],[13.392974,50.501019],[13.398903,50.506515],[13.412032,50.506448],[13.406539,50.516838],[13.410482,50.523128],[13.40583,50.528195],[13.412349,50.532622],[13.425926,50.52073],[13.432007,50.527576],[13.43824,50.525919],[13.446154,50.524786],[13.457613,50.513056],[13.465949,50.512888]]]}",563099,Jirkov,19 241
"{""type"":""Polygon"",""coordinates"":[[[14.677564,50.12666],[14.690836,50.136317],[14.699511,50.133993],[14.715287,50.117617],[14.721721,50.115923],[14.715891,50.115609],[14.717414,50.107008],[14.713445,50.095816],[14.703989,50.091812],[14.688765,50.09637],[14.691268,50.099964],[14.699099,50.103763],[14.690061,50.114422],[14.678943,50.117005],[14.677564,50.12666]]]}",538272,Jirny,2 901
"{""type"":""Polygon"",""coordinates"":[[[15.237877,50.762593],[15.248063,50.772929],[15.26122,50.767565],[15.270375,50.761406],[15.261314,50.753815],[15.241085,50.755327],[15.237877,50.762593]]]}",546585,Jiřetín pod Bukovou,457
"{""type"":""Polygon"",""coordinates"":[[[14.548867,50.846769],[14.542552,50.854267],[14.548431,50.862058],[14.545144,50.868356],[14.552708,50.873532],[14.57215,50.878481],[14.581709,50.878463],[14.580446,50.868925],[14.591373,50.855072],[14.590916,50.84253],[14.59615,50.840062],[14.575318,50.839229],[14.566824,50.836467],[14.559092,50.844124],[14.548867,50.846769]]]}",562572,Jiřetín pod Jedlovou,667
"{""type"":""Polygon"",""coordinates"":[[[14.819397,50.247924],[14.811688,50.251511],[14.824654,50.25685],[14.812687,50.25768],[14.815903,50.262947],[14.825297,50.25871],[14.828838,50.266477],[14.850638,50.263697],[14.860338,50.265444],[14.871042,50.255595],[14.88029,50.242448],[14.861873,50.23892],[14.857595,50.249595],[14.837882,50.246967],[14.83388,50.241912],[14.819397,50.247924]]]}",599581,Jiřice (NB),269
"{""type"":""Polygon"",""coordinates"":[[[15.272955,49.574468],[15.285926,49.578204],[15.293277,49.571862],[15.305008,49.578868],[15.308801,49.576723],[15.312132,49.571721],[15.335461,49.564163],[15.33502,49.541772],[15.315775,49.540582],[15.308931,49.536566],[15.291903,49.537294],[15.295355,49.547691],[15.293095,49.555471],[15.284199,49.556638],[15.276491,49.56569],[15.272955,49.574468]]]}",548081,Jiřice (PE),935
"{""type"":""Polygon"",""coordinates"":[[[16.382305,48.935129],[16.392536,48.93873],[16.404696,48.937272],[16.406401,48.941352],[16.410876,48.940051],[16.412873,48.924934],[16.410416,48.918156],[16.41209,48.900551],[16.38589,48.901154],[16.381634,48.921459],[16.382305,48.935129]]]}",594229,Jiřice u Miroslavi,458
"{""type"":""Polygon"",""coordinates"":[[[15.905096,48.999183],[15.918198,49.00486],[15.936035,48.99899],[15.942895,48.999533],[15.947087,48.989931],[15.929295,48.986744],[15.914163,48.990482],[15.905096,48.999183]]]}",550841,Jiřice u Moravských Budějovic,56
"{""type"":""Polygon"",""coordinates"":[[[17.217782,49.818987],[17.20895,49.825649],[17.220408,49.841361],[17.224747,49.856478],[17.221874,49.860575],[17.22953,49.866671],[17.23396,49.884903],[17.24331,49.886447],[17.239798,49.891991],[17.248442,49.896656],[17.252721,49.909021],[17.263167,49.895019],[17.249011,49.885304],[17.253704,49.875761],[17.273048,49.877866],[17.276004,49.873825],[17.296987,49.867488],[17.304492,49.874792],[17.319036,49.869125],[17.328651,49.859086],[17.326859,49.854186],[17.315814,49.856442],[17.305865,49.84597],[17.298802,49.848069],[17.283981,49.837915],[17.26484,49.834841],[17.261244,49.831377],[17.26622,49.81855],[17.255064,49.819869],[17.250534,49.825334],[17.232664,49.825689],[17.217782,49.818987]]]}",597457,Jiříkov (BR),281
"{""type"":""Polygon"",""coordinates"":[[[14.536262,50.982406],[14.531681,50.98802],[14.53755,50.993265],[14.534878,51.003813],[14.560096,51.0073],[14.578865,51.00043],[14.581687,50.993594],[14.599196,50.987243],[14.600771,50.979587],[14.592295,50.96681],[14.581532,50.967646],[14.570354,50.977505],[14.558023,50.972649],[14.536262,50.982406]]]}",562581,Jiříkov (DC),3 638
"{""type"":""Polygon"",""coordinates"":[[[16.766328,49.171032],[16.776679,49.152061],[16.79093,49.144928],[16.787055,49.14142],[16.762366,49.147829],[16.760283,49.155011],[16.75099,49.159854],[16.755277,49.166248],[16.755067,49.183806],[16.763669,49.184325],[16.766328,49.171032]]]}",583189,Jiříkovice,925
